"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
4786,3,"3156-11 AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008772,114,0.00787437000910352,126.994286380232
2289,3,"3156-11 AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007812,128,0.00753751446960208,132.669728732579
2739,3,"3156-11 AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00753751446960208,132.669728732579
3070,3,"3156-11 AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00753751446960208,132.669728732579
3363,3,"3156-11 AGL","1","Bardiya, Nepal 2016","Ne16",19.2,11,0.00813,123,0.0104199771456608,95.9695003185712
3720,3,"3156-11 AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0104199771456608,95.9695003185712
2195,3,"3156-11 AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00790683062444501,126.472925435935
2438,3,"3156-11 AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007634,131,0.00790683062444501,126.472925435935
2783,3,"3156-11 AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007692,130,0.00790683062444501,126.472925435935
2037,3,"3156-11 AGL","1","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007874,127,0.0101737663757655,98.2920152739162
2354,3,"3156-11 AGL","2","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.007812,128,0.0101737663757655,98.2920152739162
2904,3,"3156-11 AGL","3","Bardiya, Nepal 2017","Ne17",19.4,10.8,0.008264,121,0.0101737663757655,98.2920152739162
1592,3,"3156-11 AGL","2","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00857737729303043,116.585754110706
1659,3,"3156-11 AGL","3","Marchouch, Morocco 2017","Mo17",11.8,11.5,0.007874,127,0.00857737729303043,116.585754110706
29,3,"3156-11 AGL","1","Metaponto, Italy 2017","It17",11.2,10.8,0.006849,146,0.00725251426353035,137.883217276601
443,3,"3156-11 AGL","2","Metaponto, Italy 2017","It17",11.2,10.8,0.006849,146,0.00725251426353035,137.883217276601
691,3,"3156-11 AGL","3","Metaponto, Italy 2017","It17",11.2,10.8,0.006897,145,0.00725251426353035,137.883217276601
