"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
2940,8,"CDC Imax AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,55,55,78,88,"Us18",2.2,0.018182,37,33,15.8,14.3,58.4419379346619
3678,8,"CDC Imax AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,24,126,126,NA,NA,"Ne16",3.98947368421053,0.007937,102,NA,19.2,11,74.791518641786
3836,8,"CDC Imax AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,21,126,126,NA,NA,"Ne16",3.98947368421053,0.007937,105,NA,19.2,11,74.791518641786
6193,8,"CDC Imax AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,10,47,47,62,NA,"Ro17",3.43478260869565,0.021277,37,NA,17.5,16.4,44.975151228946
6715,8,"CDC Imax AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,46,46,64,NA,"Ro17",3.26086956521739,0.021739,37,NA,17.5,16.4,44.975151228946
6821,8,"CDC Imax AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,46,46,63,NA,"Ro17",3.26086956521739,0.021739,37,NA,17.5,16.4,44.975151228946
5312,8,"CDC Imax AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,54,54,75,NA,"Su17",3.72,0.018519,39,NA,15.7,16.1,49.026817669265
5630,8,"CDC Imax AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,53,53,73,NA,"Su17",3.56,0.018868,42,NA,15.7,16.1,49.026817669265
589,8,"CDC Imax AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,5,92,92,NA,NA,"Ba17",4.08196721311475,0.01087,87,NA,21.7,11,66.0262124063253
5316,8,"CDC Imax AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,83,83,NA,NA,"In16",4.77777777777778,0.012048,77,NA,17.6,10.9,83.0013280212483
181,8,"CDC Imax AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,94,94,NA,NA,"Ba17",4.21311475409836,0.010638,88,NA,21.7,11,66.0262124063253
233,8,"CDC Imax AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,5,NA,104,NA,NA,"Ba16",4.94444444444444,0.009615,NA,NA,18.6,10.8,79.5450025852125
