Entry,Name,Origin,Source,Lat,Lon,Synonyms
285,PI 432236 LSP AGL,Jordan,USDA,NA,NA,RPIP 33-079-10999
286,PI 432245 LSP AGL,Lebanon,USDA,NA,NA,RPIP 33-085-10598
287,PI 432271 LSP AGL,Turkey,USDA,NA,NA,RPIP 33-153-11119
288,PI 432286 LSP AGL,Egypt,USDA,NA,NA,RPIP 33-155-10568
289,PI 451763 LSP AGL,USA,USDA,46.73,-117.16,
290,PI 458503 LSP AGL,Mexico,USDA,19.51666667,-98.86666667,
291,PI 468900 LSP AGL,Brazil,USDA,NA,NA,
292,PI 468901 AGL,Brazil,USDA,NA,NA,
293,PI 468902 LSP AGL,Brazil,USDA,-28.63333333,-53.1,POPULACAO IBIRUBA
294,PI 472136 LSP AGL,India,USDA,25.18333333,85.51666667,
295,PI 472205 LSP AGL,India,USDA,NA,NA,
296,PI 472213 LSP AGL,India,USDA,NA,NA,
297,PI 472327 LSP AGL,India,USDA,28.05,79.11666667,33-069-00258
298,PI 472380 LSP AGL,India,USDA,28.98333333,77.7,33-069-00314
299,PI 472416 LSP AGL,India,USDA,NA,NA,
300,PI 472488 LSP AGL,India,USDA,NA,NA,
301,PI 472559 LSP AGL,India,USDA,NA,NA,33-069-00511
302,PI 472561 LSP AGL,India,USDA,NA,NA,33-069-00513
303,PI 472569 LSP AGL,Egypt,USDA,NA,NA,GIZA-9
304,PI 472588 LSP AGL,Egypt,USDA,NA,NA,
305,PI 472590 LSP AGL,Lebanon,USDA,NA,NA,
306,PI 472615 LSP AGL,Jordan,USDA,NA,NA,
307,PI 472629 LSP AGL,Iran,USDA,35.18333333,59.38333333,
308,PI 477921 LSP AGL,USA,USDA,46.73,-117.16,REDCHIEF
309,PI 490288 LSP AGL,France,USDA,NA,NA,IG 4740;ILL 4740;ANICIA
310,PI 490289 LSP AGL,France,USDA,NA,NA,MARIETTE
311,PI 508090 AGL,USA,USDA,46.73,-117.16,LC711981;BREWER
312,PI 518733 LSP AGL,Brazil,USDA,NA,NA,CNPH 84-123
313,PI 518734 LSP AGL,Brazil,USDA,NA,NA,CNPH 84-125
314,PI 533688 LSP AGL,Spain,USDA,37.58333333,-4.63333333,
315,PI 533693 LSP AGL,Spain,USDA,42.33333333,-5.36666667,VERDINA
316,PI 612875 AGL,Syria,USDA,NA,NA,ILL 6816
317,PI 643451 AGL,Ethiopia,USDA,NA,NA,IG 117680;ILL 7980;FLIP 96-48L;ALEM TINA
318,PI 643452 AGL,Syria,USDA,NA,NA,IG 71402;ILL 6819;FLIP 88-46L;ASSANO
319,Shasta AGL,USA,USDA,46.73,-117.16,
320,W6 27754 LSP AGL,USDA,USDA,NA,NA,
321,W6 27760 LSP AGL,USDA,USDA,NA,NA,
322,W6 27763 LSP AGL,USDA,USDA,NA,NA,
323,W6 27766 LSP AGL,USDA,USDA,NA,NA,
324,W6 27767 LSP AGL,USDA,USDA,NA,NA,*Not Barimasur-4*
