"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Sutherland, Canada 2018",49.6666666666667,0.020136,17.6,16.1,51.2468902838974
"Metaponto, Italy 2016",130.666666666667,0.00765833333333333,10.6,10.9,135.443383297004
"Metaponto, Italy 2017",134.666666666667,0.007428,11.2,10.8,131.746510602798
"Rosthern, Canada 2016",50.3333333333333,0.0198796666666667,17.2,16.1,53.3047141106587
"Rosthern, Canada 2017",49.6666666666667,0.0201413333333333,17.5,16.4,51.6384432736378
"Bardiya, Nepal 2016",120.666666666667,0.008317,19.2,11,69.1649545663907
"Bardiya, Nepal 2017",121.666666666667,0.00822233333333333,19.4,10.8,69.5763410677364
"Cordoba, Spain 2016",111.666666666667,0.00895833333333333,12.5,10.9,117.219550160612
"Cordoba, Spain 2017",125.333333333333,0.00797966666666667,11.7,11.1,119.642147357571
"Bhopal, India 2016",68.3333333333333,0.0150626666666667,17.6,10.9,98.0226988612587
"Bhopal, India 2017",58.3333333333333,0.0172496666666667,20.6,10.7,90.726694785907
"Marchouch, Morocco 2016",119,0.008403,12,10.8,123.122859784375
"Marchouch, Morocco 2017",117.333333333333,0.008523,11.8,11.5,110.437971850785
"Jessore, Bangladesh 2016",73,0.0137006666666667,18.6,10.8,84.3262306481696
"Jessore, Bangladesh 2017",75,0.0133626666666667,21.7,11,71.5773092689742
"Central Ferry, USA 2018",67.3333333333333,0.0148633333333333,15.8,14.3,63.8687218646052
"Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,52.036437115624
"Sutherland, Canada 2017",55.6666666666667,0.0179653333333333,15.7,16.1,51.9275360059426
"Sutherland, Canada 2018",48,0.0208513333333333,17.6,16.1,50.2048460591054
"Metaponto, Italy 2016",129.666666666667,0.00771433333333333,10.6,10.9,136.829123187797
"Metaponto, Italy 2017",142,0.00704366666666667,11.2,10.8,136.30715079023
"Rosthern, Canada 2016",49.6666666666667,0.0201413333333333,17.2,16.1,51.6063678215666
"Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,49.8955499989109
"Bardiya, Nepal 2016",117,0.008586,19.2,11,84.2017140273324
"Bardiya, Nepal 2017",126.666666666667,0.00789533333333333,19.4,10.8,85.9516003512229
"Cordoba, Spain 2016",117,0.00855,12.5,10.9,125.160638002771
"Cordoba, Spain 2017",128.666666666667,0.00777366666666667,11.7,11.1,123.740490645052
"Bhopal, India 2016",81,0.012393,17.6,10.9,105.943523688952
"Bhopal, India 2017",76,0.013158,20.6,10.7,100.480445243127
"Marchouch, Morocco 2016",127.333333333333,0.00785366666666667,12,10.8,130.090960451856
"Marchouch, Morocco 2017",120,0.008333,11.8,11.5,111.747045170828
"Jessore, Bangladesh 2016",84.6666666666667,0.0118116666666667,18.6,10.8,105.615562188687
"Jessore, Bangladesh 2017",86,0.0116353333333333,21.7,11,93.019468436382
"Central Ferry, USA 2018",65.6666666666667,0.0152926666666667,15.8,14.3,63.6025409422056
"Sutherland, Canada 2016",50.6666666666667,0.0197386666666667,16.7,15.9,50.1364188431068
"Sutherland, Canada 2017",54.3333333333333,0.0184106666666667,15.7,16.1,50.0392678424476
"Sutherland, Canada 2018",47,0.021277,17.6,16.1,48.355926985193
"Metaponto, Italy 2016",129.666666666667,0.00771433333333333,10.6,10.9,131.696264589062
"Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,131.258022469595
"Rosthern, Canada 2016",48.6666666666667,0.0205496666666667,17.2,16.1,49.5661346273241
"Rosthern, Canada 2017",47,0.021283,17.5,16.4,47.9085127551531
"Bardiya, Nepal 2016",120,0.00836533333333333,19.2,11,81.8647878884509
"Bardiya, Nepal 2017",125.666666666667,0.007958,19.4,10.8,83.6115194958955
"Cordoba, Spain 2016",117,0.00855,12.5,10.9,120.890547270912
"Cordoba, Spain 2017",125.333333333333,0.00797966666666667,11.7,11.1,119.496691271729
"Bhopal, India 2016",63,0.015873,17.6,10.9,106.307077596211
"Bhopal, India 2017",75,0.0134006666666667,20.6,10.7,102.38004089948
"Marchouch, Morocco 2016",122.666666666667,0.00815233333333333,12,10.8,127.448209720879
"Marchouch, Morocco 2017",117,0.008547,11.8,11.5,109.186746569183
"Jessore, Bangladesh 2016",84,0.011906,18.6,10.8,97.7652073532394
"Jessore, Bangladesh 2017",89.3333333333333,0.0111953333333333,21.7,11,84.9084846102222
"Central Ferry, USA 2018",60.3333333333333,0.0165756666666667,15.8,14.3,61.7414584217372
"Sutherland, Canada 2016",56,0.017857,16.7,15.9,53.9158133596565
"Sutherland, Canada 2017",57.6666666666667,0.017356,15.7,16.1,54.0170400700123
"Sutherland, Canada 2018",49.6666666666667,0.020136,17.6,16.1,51.8768107870515
"Metaponto, Italy 2016",147.333333333333,0.00678833333333333,10.6,10.9,144.743304628627
"Metaponto, Italy 2017",145,0.00689666666666667,11.2,10.8,143.399668856094
"Rosthern, Canada 2016",50.6666666666667,0.019749,17.2,16.1,53.2382313353981
"Rosthern, Canada 2017",51.6666666666667,0.0193566666666667,17.5,16.4,51.4481632966252
"Bardiya, Nepal 2016",117,0.008563,19.2,11,87.1665477511868
"Bardiya, Nepal 2017",126.666666666667,0.00789533333333333,19.4,10.8,88.9556449488986
