"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5570,4,"CDC Greenstar AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193808559618627,51.5973082906031
5692,4,"CDC Greenstar AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193808559618627,51.5973082906031
1399,4,"CDC Greenstar AGL","1","Metaponto, Italy 2016","It16",10.6,10.9,0.007812,128,0.00751960658235142,132.985680706622
1462,4,"CDC Greenstar AGL","2","Metaponto, Italy 2016","It16",10.6,10.9,0.007519,133,0.00751960658235142,132.985680706622
2047,4,"CDC Greenstar AGL","3","Metaponto, Italy 2016","It16",10.6,10.9,0.007874,127,0.00751960658235142,132.985680706622
103,4,"CDC Greenstar AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186509785999506,53.6164895928115
1163,4,"CDC Greenstar AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.1,0.018868,53,0.0192073056684431,52.0635229772474
1725,4,"CDC Greenstar AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.1,0.02,50,0.0192073056684431,52.0635229772474
1909,4,"CDC Greenstar AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.1,0.020408,49,0.0192073056684431,52.0635229772474
658,4,"CDC Greenstar AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186509785999506,53.6164895928115
1014,4,"CDC Greenstar AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.017857,56,0.0186509785999506,53.6164895928115
4313,4,"CDC Greenstar AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008929,112,0.00834397047609447,119.84702041612
4699,4,"CDC Greenstar AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.009174,109,0.00834397047609447,119.84702041612
4980,4,"CDC Greenstar AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008929,112,0.00834397047609447,119.84702041612
2176,4,"CDC Greenstar AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.008264,121,0.00795733800846097,125.670167452571
2484,4,"CDC Greenstar AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.008403,119,0.00795733800846097,125.670167452571
2828,4,"CDC Greenstar AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.008403,119,0.00795733800846097,125.670167452571
3650,4,"CDC Greenstar AGL","2","Bardiya, Nepal 2016","Ne16",19.2,11,0.009259,108,0.0114206324917316,87.5608247375082
259,4,"CDC Greenstar AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.0125,80,0.012505321825604,79.9659548107392
435,4,"CDC Greenstar AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.0125,80,0.012505321825604,79.9659548107392
838,4,"CDC Greenstar AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.012346,81,0.012505321825604,79.9659548107392
2178,4,"CDC Greenstar AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.008065,124,0.00833625909097331,119.957883876573
