"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
22,"CDC Ruby AGL","Bhopal, India 2016","In16",55.6666666666667,0.0179886666666667,17.6,10.9,55.5905570173813
22,"CDC Ruby AGL","Bhopal, India 2017","In17",64,0.0157903333333333,20.6,10.7,43.2089212931902
22,"CDC Ruby AGL","Jessore, Bangladesh 2016","Ba16",65.6666666666667,0.0152296666666667,18.6,10.8,50.7979813127405
22,"CDC Ruby AGL","Jessore, Bangladesh 2017","Ba17",75.3333333333333,0.0132843333333333,21.7,11,39.5733804553013
22,"CDC Ruby AGL","Bardiya, Nepal 2016","Ne16",103.333333333333,0.00969633333333333,19.2,11,47.9190406723699
22,"CDC Ruby AGL","Bardiya, Nepal 2017","Ne17",114,0.00878033333333333,19.4,10.8,47.4065413197434
22,"CDC Ruby AGL","Cordoba, Spain 2016","Sp16",111,0.00901066666666667,12.5,10.9,110.979579757325
22,"CDC Ruby AGL","Cordoba, Spain 2017","Sp17",122.333333333333,0.008178,11.7,11.1,129.385734881213
22,"CDC Ruby AGL","Marchouch, Morocco 2016","Mo16",120.666666666667,0.008287,12,10.8,123.958233180113
22,"CDC Ruby AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,122.581839787014
22,"CDC Ruby AGL","Metaponto, Italy 2016","It16",123,0.00813633333333333,10.6,10.9,176.493795031873
22,"CDC Ruby AGL","Metaponto, Italy 2017","It17",133,0.00752566666666667,11.2,10.8,150.17450991551
23,"CDC SB-1 AGL","Rosthern, Canada 2016","Ro16",44,0.022735,17.2,16.1,44.149116671399
23,"CDC SB-1 AGL","Rosthern, Canada 2017","Ro17",42.6666666666667,0.023449,17.5,16.4,42.5521598101237
23,"CDC SB-1 AGL","Sutherland, Canada 2016","Su16",47,0.021277,16.7,15.9,46.232757247377
23,"CDC SB-1 AGL","Sutherland, Canada 2017","Su17",47.3333333333333,0.021135,15.7,16.1,49.0679022798294
23,"CDC SB-1 AGL","Sutherland, Canada 2018","Su18",43,0.023256,17.6,16.1,42.999656002752
23,"CDC SB-1 AGL","Central Ferry, USA 2018","Us18",58.5,0.017125,15.8,14.3,55.0793023570826
23,"CDC SB-1 AGL","Bhopal, India 2016","In16",61,0.016393,17.6,10.9,61.0016470444702
23,"CDC SB-1 AGL","Bhopal, India 2017","In17",68,0.014748,20.6,10.7,48.3787906068528
23,"CDC SB-1 AGL","Jessore, Bangladesh 2016","Ba16",77.3333333333333,0.0129316666666667,18.6,10.8,56.2595984189016
23,"CDC SB-1 AGL","Jessore, Bangladesh 2017","Ba17",80.6666666666667,0.0124086666666667,21.7,11,43.9922911306316
23,"CDC SB-1 AGL","Bardiya, Nepal 2016","Ne16",115.666666666667,0.00871,19.2,11,52.7789668413753
23,"CDC SB-1 AGL","Bardiya, Nepal 2017","Ne17",121.666666666667,0.00822233333333333,19.4,10.8,52.6711513013975
23,"CDC SB-1 AGL","Cordoba, Spain 2016","Sp16",115.333333333333,0.008673,12.5,10.9,115.300357431108
23,"CDC SB-1 AGL","Cordoba, Spain 2017","Sp17",129,0.007752,11.7,11.1,129.433398951316
23,"CDC SB-1 AGL","Marchouch, Morocco 2016","Mo16",126,0.007937,12,10.8,128.466071030402
23,"CDC SB-1 AGL","Marchouch, Morocco 2017","Mo17",119,0.00840433333333333,11.8,11.5,118.972881809414
23,"CDC SB-1 AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.9,172.505352739622
23,"CDC SB-1 AGL","Metaponto, Italy 2017","It17",139.666666666667,0.00716066666666667,11.2,10.8,152.133456608091
24,"CDC Sedley AGL","Rosthern, Canada 2016","Ro16",50,0.0200053333333333,17.2,16.1,48.0617150116212
