"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
131,"Metaponto, Italy 2017","It17",145,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Mediterranean",11.2,10.8,NA,138.921850937695,142.92481060887,4.00295967117444,"P",10.9
132,"Rosthern, Canada 2017","Ro17",43.6666666666667,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Temperate",17.5,16.4,NA,43.3295315473653,43.7795596522802,0.450028104914885,"P",16.5
132,"Sutherland, Canada 2017","Su17",47.3333333333333,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Temperate",15.7,16.1,NA,46.1140623655173,46.6241307253882,0.510068359870864,"P",16.2
132,"Central Ferry, USA 2018","Us18",56.3333333333333,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Temperate",15.8,14.3,NA,57.2968810114593,58.0864499785179,0.789568967058635,"P",14.4
132,"Bhopal, India 2017","In17",81,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","South Asia",20.6,10.7,NA,93.1903757802972,95.2972354969504,2.1068597166532,"P",10.8
132,"Jessore, Bangladesh 2017","Ba17",82,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","South Asia",21.7,11,NA,84.3231670852699,86.0444571540325,1.72129006876257,"P",11.1
132,"Bardiya, Nepal 2017","Ne17",123.666666666667,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","South Asia",19.4,10.8,NA,95.1169197074988,97.3128172750029,2.19589756750403,"P",10.9
132,"Cordoba, Spain 2017","Sp17",127.333333333333,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Mediterranean",11.7,11.1,NA,120.363280193546,123.901248613304,3.53796841975733,"P",11.2
132,"Marchouch, Morocco 2017","Mo17",124,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Mediterranean",11.8,11.5,NA,107.584542187221,110.402357185466,2.81781499824481,"P",11.6
132,"Metaponto, Italy 2017","It17",142.666666666667,"PI 175754 LSP AGL",-0.022694660629482,0.000378819342531552,0.00237238000057526,0.913597756996687,17,1.35839953126811e-26,1.09406088398217e-09,4.02179014648193e-35,"4","Mediterranean",11.2,10.8,NA,135.00636801086,139.473515119641,4.46714710878064,"P",10.9
133,"Rosthern, Canada 2017","Ro17",45.6666666666667,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","Temperate",17.5,16.4,NA,46.0226031904145,46.4948827629931,0.4722795725786,"P",16.5
133,"Sutherland, Canada 2017","Su17",51.3333333333333,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","Temperate",15.7,16.1,NA,48.6760066824404,49.2046268266815,0.528620144241046,"P",16.2
133,"Central Ferry, USA 2018","Us18",57,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","Temperate",15.8,14.3,NA,60.2401191441799,61.051841324722,0.811722180542077,"P",14.4
133,"Bhopal, India 2017","In17",78,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","South Asia",20.6,10.7,NA,99.5271353798797,101.762519595695,2.23538421581506,"P",10.8
133,"Jessore, Bangladesh 2017","Ba17",90,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","South Asia",21.7,11,NA,90.6713843372322,92.5229648958675,1.85158055863526,"P",11.1
133,"Bardiya, Nepal 2017","Ne17",127.333333333333,"PI 177430 LSP AGL",-0.0197668753492501,0.000290177758137882,0.00220710413490037,0.888628544027683,16,2.8502379341031e-22,3.14848013141314e-06,3.81250912157249e-32,"7","South Asia",19.4,10.8,NA,100.806367989968,103.100246947456,2.29387895748778,"P",10.9
