"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
109,"ILL 7946 AGL",-0.0212579151535447,0.000289210839502724,0.00242100668210551,0.870712468656726,17,1.37251541220335e-23,1.43960207720006e-06,3.52691081974509e-35
110,"ILL 7978 AGL",-0.0184748229819286,0.000446417129155317,0.00211749572277885,0.725010645970981,18,2.5116652361991e-12,7.58189518134067e-06,1.14180018828075e-21
111,"ILL 7979 AGL",-0.0176887757582395,0.000415537674876443,0.00205564201319754,0.797197519892318,18,3.97472829199934e-14,1.99326327217245e-06,3.71076316857177e-24
112,"ILL 8007 AGL",-0.0201902939202147,0.000676571133838521,0.00204533069829179,0.873493447160907,18,2.04845428516475e-16,7.49444586884646e-12,4.03976761083738e-24
113,"ILL 8009 AGL",-0.0201417780043662,0.000597239562948131,0.00209536245203631,0.795207161099636,18,4.74412917962111e-14,8.32516379746122e-09,4.3095339788034e-22
114,"ILL 8010 AGL",-0.0194089095307392,0.000604895674507863,0.00200596586384171,0.821103742119722,18,8.33097910805249e-14,4.4174145129441e-09,1.27866344473268e-21
115,"ILL 8072 AGL",-0.0213677829268911,0.000253519715042567,0.00242721285641912,0.886835014100108,15,1.63440217486793e-22,4.76139083764048e-05,1.50975792295479e-33
116,"ILL 8174 AGL",-0.0206538142973808,0.000555357893828496,0.00203570537690577,0.73708402918923,18,3.43539371544252e-11,5.5346793027678e-06,3.4591792508326e-17
117,"ILL 8595 AGL",-0.0217688201252903,0.00068703265734545,0.00200723949617952,0.753177353461814,18,2.36098261035779e-13,5.70634049598066e-09,4.50995403536444e-19
118,"ILL 9 AGL",-0.0219732288152038,0.000507503652300049,0.00228976375508797,0.768879476844247,18,1.20848747287885e-15,2.76684356740383e-07,8.33791386203535e-24
119,"ILL 975 AGL",-0.0201713480452719,0.000174525460799872,0.00246558109453986,0.904272337642212,16,6.2953447332987e-25,0.000373898377310198,5.78988169278075e-38
120,"ILL 9888 AGL",-0.0223253530049631,0.000399238050621253,0.00240446717029735,0.789011565675733,18,1.57523085291894e-17,3.29952530774002e-06,3.31218108754629e-26
121,"ILL 9932 AGL",-0.0207385718770464,0.000436004571352772,0.0022670501430505,0.805171178358646,18,4.04470931517737e-16,9.5292289440073e-07,2.72150418497232e-25
122,"ILL 9945 AGL",-0.0213081404081692,0.000317663746469073,0.00245864245098072,0.909169253181986,17,2.29321292720468e-25,1.97776148764129e-08,1.97282314315799e-36
123,"ILL 9977 AGL",-0.020439562663141,0.000476609572929524,0.00222978837141404,0.780884742710036,18,9.01299420122146e-15,6.42584610431923e-07,7.14962594368519e-24
124,"ILL 9997 AGL",-0.0181007078716665,0.000558586412680757,0.00196188415163886,0.775621961270952,18,1.08945569904263e-12,3.32794782455808e-08,2.6451924275082e-21
125,"ILWL 118 AGL",-0.0181038082008967,0.00047806833411343,0.00194358737325872,0.803831330912298,18,4.05348001700106e-13,9.66951347789092e-07,1.02293638439261e-20
126,"Indianhead AGL",-0.0135466479308833,0.000356492742805798,0.0015328159155642,0.879291493010561,15,5.69472031852575e-17,3.46353059730641e-09,2.50086787165183e-26
127,"IPL 220 AGL",-0.0196492323276315,0.000596969761528934,0.0020682141954121,0.773189220425132,18,3.78599385788403e-13,2.30311601040831e-08,5.86329250997762e-21
128,"Laird AGL",-0.0147730645107197,0.000501797727829543,0.00154237038808056,0.84245667689604,18,1.9608471265567e-15,2.30082041868243e-11,2.17995914006593e-23
129,"LIRL-22-46 AGL",-0.0147492185160823,0.000888692512358925,0.00138065698628279,0.755673002673096,18,1.05238583334431e-05,2.22914146894802e-08,4.15941831385452e-09
130,"PI 163589 AGL",-0.0178276106038167,0.000260078003331449,0.00208183984801771,0.902343234665673,14,6.40381668550902e-22,2.1834963431063e-06,3.3356804671493e-33
131,"PI 169534 LSP AGL",-0.0202320188232633,0.00050040983311653,0.00200618997249469,0.844331402274095,16,3.21147384981955e-18,1.29852424391024e-09,2.62623696250953e-26
132,"PI 175754 LSP AGL",-0.022447317758234,0.000372136249109371,0.00236111261613085,0.911306759021344,17,2.21323043926658e-26,2.02648768579851e-09,5.06568267011375e-35
133,"PI 177430 LSP AGL",-0.0195434044399246,0.000283878956374933,0.00219725371823141,0.893372364883372,16,3.48078465529145e-22,4.57651719132599e-06,3.4548470099513e-32
134,"PI 178939 LSP AGL",-0.0199188309308526,0.000405749985819729,0.00207470819933308,0.842235042407424,17,4.6262702934434e-20,2.29487879937494e-08,1.75519165471568e-28
135,"PI 178952 AGL",-0.02228042046085,0.000469893465677063,0.00225369682851118,0.872997250863381,17,4.07429886823493e-22,2.72918029044426e-10,4.41762151727042e-31
136,"PI 178971 LSP AGL",-0.0195746245135615,0.000385882490140457,0.00208385204295034,0.912300154386492,16,3.25008738916091e-24,7.9716120634061e-11,1.91983907421329e-34
137,"PI 179324 LSP AGL",-0.0210780680211194,0.00027379224721512,0.00233815710597529,0.899431071039111,14,5.71573579512789e-23,5.05494165183123e-06,2.2126439234945e-33
138,"PI 179330 AGL",-0.021458333512182,0.00033663780911213,0.00230104257261691,0.90849089976664,18,2.56626136260868e-25,7.49794409066096e-09,3.37842981911043e-34
139,"PI 181771 LSP AGL",-0.0192447425134948,0.000372932158931131,0.00207208971972276,0.925830964694772,16,3.76630739445809e-26,4.82236295490734e-12,1.63464347271194e-36
140,"PI 181886 LSP AGL",-0.0192591664910443,0.000218608580481479,0.00228672158269244,0.887465773402475,15,6.54263338490841e-23,7.54844839269763e-05,5.86515648627114e-35
141,"PI 182217 LSP AGL",-0.021993713022822,0.000417838920279882,0.0022804093554737,0.868427030719842,18,3.00704401523845e-20,5.28598159251792e-08,3.46569569448593e-28
